"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_3675,field_3671,field_3719,field_3720
17258,17258,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17259,17259,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17260,17260,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17261,17261,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17262,17262,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17263,17263,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17264,17264,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17265,17265,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17266,17266,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17267,17267,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17268,17268,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17269,17269,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17270,17270,Other Creative Placemaking Maintenance and Program Expenses,,Active
17271,17271,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17272,17272,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17273,17273,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17274,17274,Other Creative Placemaking Maintenance and Program Expenses,,Active
17275,17275,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17276,17276,Other Creative Placemaking Maintenance and Program Expenses,,Active
17277,17277,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17278,17278,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17279,17279,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17280,17280,Other Creative Placemaking Maintenance and Program Expenses,,Active
17281,17281,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17282,17282,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17283,17283,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17284,17284,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17285,17285,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17286,17286,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17287,17287,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17288,17288,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17289,17289,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17290,17290,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17291,17291,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
18055,18055,"Artists Paid for Projects, Performances and Workshops",,Active
18056,18056,Local Food Vendor Payments,,Active
18057,18057,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
18058,18058,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18059,18059,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
18060,18060,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
18061,18061,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
18062,18062,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
18063,18063,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
18064,18064,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
